Código OTRI,Título del contrato,Tipo contrato,Tipo contrato,CIF,CNAE,Descripción CNAE,Nombre entidad,Caracter,Caracter,Ambito,Ambito,Id. Pers,Nombre completo,Id. Categoria,Categoria,Nombre Departamento,Titulares,,Importe sin IVA,Fecha de firma,Fecha de fin,Código contable,Fecha de cierre,Ubicación expediente,,,CNAE,Descripción CNAE
2016003050,Formación en Derecho de Acceso y Contratación Pública,FOR,Formación,P3120100G,8411,Actividades generales de la Administración Pública,Ayuntamiento de Pamplona/Iruñako Udala,PUB,Público,LO, ,414,"Razquin Lizarraga, Martín María",CU,Catedrático de Universidad,Derecho Público,"Razquin Lizarraga, Martín María(PRI - CU); Sarasíbar Iriarte, Miren(INV - PD1)",,5000,22/06/2016,07/10/2016,3030007309,,\\tsclient\T\2016003050.pdf,,,,
2016021019,Apoyo técnico en trabajos de ingeniería en el medio rural,ASE,Asesoría y consultoría,P3123600C,8411,Actividades generales de la Administración Pública,AYUNTAMIENTO DEL VALLE DE LA ULTZAMA,PUB,Público,AUT, ,2067,"Seco Meneses, Andrés",TU,Titular de Universidad,Proyectos e Ingeniería Rural,"Seco Meneses, Andrés(PRI - TU); Prieto Cobo, Eduardo(INV - TEU); García Santos, Rafael Rogelio(INV - TU); Ramírez Chasco, Francisco de Asís(INV - TU)","García Gracianteparaluceta, Beñat(INV)",3300,01/01/2016,31/12/2016,3030007282,,\\tsclient\T\2016021019.pdf,,2009_2829,2829,Fabricación de otra maquinaria de uso general n.c.o.p.
2016807007,Sistema de configuración de máquinas expendedoras - Fase 1,I+D,Investigación y desarrollo,A31065618,4669,Comercio al por mayor de otra maquinaria y equipo,"AZKOYEN, S.A.",PRV,Privado,AUT, ,9999,"Vicerrector  , de Investigación",SC,Sin categoria,CENTRO TIC,"Villadangos Alonso, Jesús(PRI - TU); Vicerrector , de Investigación(PRI - SC)",,12000,19/01/2016,18/03/2016,3030007215,28/07/2016,\\tsclient\T\2016807007.pdf,,,,
2016901119,Adaptación Button Barista a plataformas android 6.0,I+D,Investigación y desarrollo,A31065618,4669,Comercio al por mayor de otra maquinaria y equipo,"AZKOYEN, S.A.",PRV,Privado,AUT, ,99996,"Vicerrector , para ISC",SC,Sin categoria,Institute of Smart Cities ISC,"Villadangos Alonso, Jesús(PRI - TU); Astrain Escola, José Javier(INV - PD1); Ayape Lopez, Mikel(INV - COP); Vicerrector , para ISC(PRI - SC)",,3000,28/10/2016,31/12/2016,3030007438,08/03/2017,\\tsclient\T\2016901119.pdf,,,,
2016006094,Prórroga del contrato para el proyecto NICETRAILS,I+D,Investigación y desarrollo,45477793P,5829,Edición de otros programas informáticos,BERNAT CUNI SOLER (CUNICODE),PRV,Privado,EST, ,4340,"Ardaiz Villanueva, Oscar",PD1,Profesor Contratado Doctor Tipo 1,Ingeniería Matemática e Informática,"Ardaiz Villanueva, Oscar(PRI - PD1)","Ezcurdia Aguirre, Iñigo Fermín(INV)",3260,19/08/2016,28/02/2017,3030007339,,\\tsclient\T\2016006094.pdf,,,,
2016006116,TopoFab,I+D,Investigación y desarrollo,45477793P,5829,Edición de otros programas informáticos,BERNAT CUNI SOLER (CUNICODE),PRV,Privado,EST, ,4340,"Ardaiz Villanueva, Oscar",PD1,Profesor Contratado Doctor Tipo 1,Ingeniería Matemática e Informática,"Ardaiz Villanueva, Oscar(PRI - PD1); Ezcurdia Aguirre, Iñigo Fermín(AYP - AYP)",,25000,25/10/2016,24/10/2017,3030007389,,\\tsclient\T\2016006116.pdf,,,,
2016016027,Adecuación de nuevas técnicas vitícolas para mejorar la calidad enológica de la variedad Tempranillo en las condiciones de Navarra,I+D,Investigación y desarrollo,A31157340,1102,Elaboración de vinos,"BODEGAS OCHOA, S.A.",PRV,Privado,AUT, ,2332,"Santesteban García, Luis Gonzaga",TU,Titular de Universidad,Producción Agraria,"Miranda Jiménez, Carlos(INV - TU); Santesteban García, Luis Gonzaga(PRI - TU); Royo Díaz, José Bernardo(INV - TU)",,6000,15/03/2016,31/12/2016,3030007245,21/02/2017,\\tsclient\T\2016016027.pdf,,,,
2016018040,Asesoría técnica para proyectos de investigación en el ámbito del euskera,SER,Servicios,P3126685A,9499,Otras actividades asociativas n.c.o.p.,Bortzirietako Euskara Mankomunitatea,PUB,Público,AUT, ,1669,"Vilches Plaza, Carlos",PAD,Profesor Ayudante Doctor,Sociología,"Vilches Plaza, Carlos(PRI - PAD)",,100,08/04/2016,30/06/2016,3030007255,25/01/2017,\\tsclient\T\2016018040.pdf,,,,
2016002109,Segunda ampliación de ''Asesoramiento y puesta en marcha de programa de Ejercicio físico para personas mayores frágiles'',ASE,Asesoría y consultoría,G31014186,8731,Asistencia en establecimientos residenciales para personas mayores,Casa de Misericordia de Pamplona,PRV,Privado,LO, ,810013,"Izquierdo Redín, Miguel Eugenio",CU,Catedrático de Universidad,Ciencias de la Salud,"Izquierdo Redín, Miguel Eugenio(PRI - CU)",,3800,27/09/2016,26/05/2017,3030007354,,\\tsclient\T\2016002109.pdf,,,,
2016903067,GEM Navarra 2016/2015,ASE,Asesoría y consultoría,B71069876,7022,Otras actividades de consultoría de gestión empresarial,"CEIN-CENTRO EUROPEO DE EMPRESAS E INNOVACIÓN, S.L.",PUB,Público,AUT, ,99995,"Vicerrector , para INARBE",SC,Sin categoria,INARBE. Institute for Advanced Research in Business and Economics,"Larraza Quintana, Martín(PRI - TU); Contín Pilart, Ignacio(PRI - TU); Orcos Sánchez, Raquel(INV - PAD); Vicerrector , para INARBE(PRI - SC)",,6237.19,31/05/2016,30/09/2016,3030007302,,\\tsclient\T\2016903067.pdf,,,,
2016800121,Bioinsecticidas ''a la carta'' basados en Bacillus thuringiensis BIOPEST - anualidad 2016,I+D,Investigación y desarrollo,G31679889,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,CENER-Fundación CENER-CIEMAT,PRV,Privado,AUT, ,99998,"Vicerrector  , para IdAB",SC,Sin categoria,Instituto de Agrobiotecnología IdAB,"Caballero Murillo, Primitivo(PRI - CU); Murillo Martínez, Jesús(INV - CU); Caballero Sánchez, Javier(INV - UNI); Vicerrector , para IdAB(PRI - SC)",,15000,31/10/2016,31/12/2016,3030007422,,\\tsclient\T\2016800121.pdf,,2009_7219,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas
2016012141,ESTUDIO COMPUTACIONAL Y DISEÑO DE UN PROTOTIPO DE RECUPERADOR DE CALOR ACTIVO CON TERMOELECTRICIDAD PARA SER INCORPORADO EN LAS VIVIENDAS PASSIVHAUS,I+D,Investigación y desarrollo,G31679889,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,CENER-Fundación CENER-CIEMAT,PRV,Privado,AUT, ,1879,"Astrain Ulibarrena, David",TU,Titular de Universidad,"Ingeniería Mecánica, Energética y de Materiales","Astrain Ulibarrena, David(PRI - TU); Pérez Artieda, Miren Gurutze(INV - PD1); Rodríguez García, Antonio(INV - PD1); Aranguren Garacochea, Patricia(INV - PAD); Araiz Vega, Miguel(INV - FPI); Martínez Echeverri, Álvaro(INV - PAD)",,16950,01/11/2016,28/02/2017,3030007426,,\\tsclient\T\2016012141.pdf,,,,
2016001132,Curso de formación: Algoritmos genéticos y bioinspirados,FOR,Formación,G31679889,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,CENER-Fundación CENER-CIEMAT,PRV,Privado,AUT, ,278,"Bustince Sola, Humberto",CU,Catedrático de Universidad,Automática y Computación,"Bustince Sola, Humberto(PRI - CU); Sanz Delgado, José Antonio(INV - PAD); Galar Idoate, Mikel(INV - PAD)",,4500,24/11/2016,31/01/2017,3030007450,,\\tsclient\T\2016001132.pdf,,,,
2016018053,Gaztetxoen euskararekiko jarrerak eta motibazioak ezagutzea eta horiek ulertu eta eraldatzeko prozesua zehaztea Gazteen motibazioari buruzko ikerketa,ASE,Asesoría y consultoría,S3199323A,8559,Otra educación n.c.o.p.,CENTRO DE RECURSOS PARA LA ENSEÑANZA DEL EUSKERA-EIBZ ,PUB,Público,AUT, ,1669,"Vilches Plaza, Carlos",PAD,Profesor Ayudante Doctor,Sociología,"Vilches Plaza, Carlos(PRI - PAD)",,1360,13/05/2016,12/11/2016,3030007288,,\\tsclient\T\2016018053.pdf,,0,0,NULL
2016007049,Asesoramiento en la utilización del autoclave,ASE,Asesoría y consultoría,G31096928,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,Centro Nacional de Tecnología y Seguridad Alimentaria (CNTA),PRV,Privado,AUT, ,2070,"Maté Caballero, Juan Ignacio",CU,Catedrático de Universidad,Tecnología de Alimentos,"Maté Caballero, Juan Ignacio(PRI - CU)",,350,06/05/2016,07/05/2016,3030007277,,\\tsclient\T\2016007049.pdf,,2009_8411,8411,Actividades generales de la Administración Pública
