No_,Name,ALIAS,CNAE,CNAE,Convenios iniciados 2016,Practicascurriculares2016,Practicasextracurriculares,Selecciones2016Empleootrabajo,Ingresos2016
EMP004845,"Cafés Plaza del Castillo, S.L.","CAFÉS PLAZA DEL CASTILLO, S.L.","Elaboración de café, té e infusiones",1083,1,0,1,,393.25
EMP004078,Caja Laboral Popular Coop. de Crédito,LABORAL KUTXA,Otra intermediación monetaria,6419,6,0,6,,11441.53
EMP000244,"Caja Rural de Navarra, S.C.C.",CAJA RURAL DE NAVARRA,Otra intermediación monetaria,6419,74,5,69,1,187859.66
EMP000246,"Calderería del Norte, S.L.",CALDENOR,Fabricación de estructuras metálicas y sus componentes,2511,,0,0,1,
ORG000248,Cámara de Comercio Polaco-Española,CÁMARA DE COMERCIO POLACO-ESPAÑOLA,Actividades de organizaciones empresariales y patronales,9411,1,0,1,,
ORG000046,Cámara Navarra de Comercio e Industria,CÁMARA NAVARRA DE COMERCIO E INDUSTRIA,Actividades de organizaciones empresariales y patronales,9411,1,0,1,,
ORG000403,Cáritas Diocesana de Pamplona-Tudela,CÁRITAS DIOCESANA DE PAMPLONA-TUDELA,Otras actividades de servicios sociales sin alojamiento n.c.o.p.,8899,5,5,0,,
EMP001688,"Cárnicas Iruña Velasco, S.A.","CÁRNICAS IRUÑA VELASCO, S.A.",Procesado y conservación de carne,1011,1,0,1,,11605.31
EMP004882,"Cárnicas Lizan, S.L.","CÁRNICAS LIZAN, S.L.",Procesado y conservación de carne,1011,1,0,1,,4187.97
EMP003288,"Carrocerías Ega, S.L.","CARROCERÍAS EGA, S.L.",Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques,2920,,0,0,1,
ORG000306,Casa Misericordia de Pamplona,CASA MISERICORDIA DE PAMPLONA,Asistencia en establecimientos residenciales para personas mayores,8731,1,1,0,,
EMP001503,"Cebi Electromechanical Components Spain, S.A.","CEBI ELECTROMECHANICAL COMPONENTS SPAIN, S.A.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,,0,0,2,556.60
PRO001570,Cecilia Wolluschek Perri,CW CONSULTING,Estudios de mercado y realización de encuestas de opinión pública,7320,2,0,2,,8501.70
ORG000079,Ceit (Centro tecnológico Ceit-IK4),CEIT,Ensayos y análisis técnicos,7120,1,0,1,,
EMP004861,"Centex Agrícola Ganadera, S. Coop.","CENTEX AGRÍCOLA GANADERA, S. COOP.",Comercio al por mayor de frutas y hortalizas,4631,1,0,1,,5987.97
EMP004836,Central Laboratory,CENTRAL LABORATORY,Ensayos y análisis técnicos,7120,1,0,1,,
INS000310,Centro de Investigaciones Energéticas,CIEMAT,Actividades de investigación,8030,1,0,1,,
ORG000172,Centro Nacional de Tecnología y,CNTA,Investigación y desarrollo experimental en biotecnología,7211,1,0,1,,447.25
EMP001012,"Cerámicas Navagres, S.A.","CERÁMICAS NAVAGRES, S.A.",Revestimiento de suelos y paredes,4333,1,1,0,,393.25
EMP004817,"Cerelia Index, S.L.","CERELIA INDEX, S.L.",Otras actividades de consultoría de gestión empresarial,7022,1,0,1,,10099.41
EMP000284,"CIES, S.L.","CIES, S.L.",Estudios de mercado y realización de encuestas de opinión pública,7320,1,0,1,,
EMP004709,Cikautxo SK,CIKAUTXO SK,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,2,2,0,,
EMP001566,"Cima Nuevas Tecnologías Informáticas, S.L.U.","CIMA NUEVAS TECNOLOGÍAS INFORMÁTICAS, S.L.U.","Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,1,0,1,,8777.36
EMP004877,Cinfa Biotech S.L.,CINFA BIOTECH S.L.,Fabricación de especialidades farmacéuticas,2120,1,0,1,,6887.97
EMP004448,"Clean Water Ingeniería, S.L.","CLEAN WATER INGENIERÍA, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,1,1,0,,393.25
ORG000576,Clínica Psiquiátrica Padre Menni,CLÍNICA PSIQUIÁTRICA PADRE MENNI,Actividades de servicios sociales sin alojamiento para  personas mayores,8811,2,2,0,,
EMP001563,"Clínica San Miguel, S.A.","CLÍNICA SAN MIGUEL, S.A.",Actividades hospitalarias,8610,3,1,2,,3117.19
EMP001627,Club Natación Pamplona,CLUB NATACIÓN PAMPLONA,Actividades de los clubes deportivos,9312,1,0,1,,1684.21
EMP004834,"CNAI, Centro Neurológico de Atención Integral","CNAI, CENTRO NEUROLÓGICO DE ATENCIÓN INTEGRAL",Otras actividades sanitarias,8690,2,0,2,,20198.82
